time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-02-14T00:33:40.500Z,36.74,36.08,10,4.7,mwr,,,,0.85,us,usc000mq8w,2015-01-30T22:59:04.157Z,"16km NW of Denizciler, Turkey",earthquake
2014-02-03T18:29:46.060Z,34.928,32.5708,19.9,4,mb,,,,1.18,us,usc000mgaq,2015-01-30T04:58:50.568Z,"16km NE of Tala, Cyprus",earthquake
2014-01-10T13:20:46.970Z,37.3093,36.2033,3.4,4,mb,,,,0.97,us,usb000m7ex,2014-03-15T03:38:58.000Z,"11km SE of Kadirli, Turkey",earthquake
2014-01-09T05:25:36.630Z,35.7187,32.0285,6.4,3.7,mb,,,,2.67,us,usb000m7d8,2014-03-15T03:38:43.000Z,"66km SSW of Gazipasa, Turkey",earthquake
2013-12-28T18:55:03.950Z,35.7262,31.3125,49.05,4.5,mb,,110,1.526,0.92,us,usc000ltdi,2014-02-28T08:44:11.000Z,"107km SSW of Avsallar, Turkey",earthquake
2013-12-28T15:21:04.090Z,36.028,31.31,40.7,5.9,mww,,26,1.34,1.08,us,usc000ltax,2015-01-28T22:04:01.703Z,"77km SSW of Avsallar, Turkey",earthquake
2013-12-25T18:11:36.900Z,36.94,31.06,91,4.5,mb,,,,2.17,us,usc000lrgn,2014-02-28T08:44:07.000Z,"4km NW of Serik, Turkey",earthquake
2013-12-08T17:31:56.380Z,36.6148,31.2427,88.6,4.9,mb,,,,0.88,us,usb000ldsa,2015-01-30T10:05:26.338Z,"21km SW of Side, Turkey",earthquake
2013-12-06T16:37:28.490Z,35.1081,30.6052,48.4,4.1,mb,,93,1.731,1.24,us,usb000lcry,2014-02-15T01:32:11.000Z,"137km SSE of Beykonak, Turkey",earthquake
2013-12-06T09:30:21.710Z,36.2076,31.2211,64.1,4.2,mb,,83,0.605,1.19,us,usb000lciu,2014-02-15T01:32:11.000Z,"63km SSW of Side, Turkey",earthquake
2013-11-22T12:00:24.360Z,35.4356,31.8905,70.17,4.1,mb,,83,0.876,0.63,us,usb000l48n,2014-02-11T02:18:54.000Z,"65km NW of Polis, Cyprus",earthquake
2013-11-07T06:39:28.460Z,37.4222,36.217,5.4,4.4,mb,,,,1.14,us,usb000ky75,2014-01-17T00:29:10.000Z,"11km ENE of Kadirli, Turkey",earthquake
2013-11-05T16:16:39.960Z,35.0495,31.487,55.51,4.2,mb,,129,1.516,0.84,us,usb000kyjh,2014-01-17T00:29:09.000Z,"83km WNW of Peyia, Cyprus",earthquake
2013-10-23T12:24:22.450Z,36.2912,34.3423,5,4.5,mb,,,,1.33,us,usb000kj64,2014-01-03T00:32:51.000Z,"34km S of Erdemli, Turkey",earthquake
2013-10-21T19:14:13.500Z,34.72,32.2757,17.7,3.7,ml,,,,0.97,us,usc000km4n,2015-01-30T17:29:10.134Z,"13km WSW of Paphos, Cyprus",earthquake
2013-10-20T12:54:05.800Z,32.857,35.571,5,3.5,md,,,,1.06,us,usb000khl6,2015-01-30T18:18:38.414Z,"8km NNE of Tiberias, Israel",earthquake
2013-09-21T11:31:07.970Z,35.863,31.0615,14.1,3.9,mb,,,,1.49,us,usb000jx45,2013-12-09T21:11:10.000Z,"85km SE of Beykonak, Turkey",earthquake
2013-07-27T20:13:53.940Z,36.935,35.613,24.9,3.7,ml,6,100,,,us,usc000it7a,2014-11-07T01:51:20.730Z,"20km WSW of Ceyhan, Turkey",earthquake
2013-07-26T00:22:55.470Z,36.03,35.89,17.4,4,mb,37,100,,,us,usc000ipge,2015-01-30T23:19:42.629Z,"9km SW of Samandagi, Turkey",earthquake
2013-06-01T11:49:28.450Z,28.414,33.224,21.8,4.7,mb,109,61,,0.73,us,usb000hbbw,2015-01-29T19:34:40.805Z,"39km WNW of Tor, Egypt",earthquake
2013-05-06T18:33:17.730Z,37.306,37.147,7.4,4,ml,11,100,,,us,usp000k0ke,2014-11-07T01:50:45.181Z,"central Turkey",earthquake
2013-04-25T22:54:27.680Z,37.4167,35.6808,10.01,4.2,mb,24,152,2.81,0.5,us,usb000gfvv,2013-04-25T23:09:30.107Z,"12km WSW of Kozan, Turkey",earthquake
2013-04-25T22:54:27.600Z,37.417,35.681,10,3.6,Ml,23,151.2,2.80633695,0.5,us,us2013pkat,2013-06-10T22:12:38.601Z,"12km WSW of Kozan, Turkey",earthquake
2013-04-25T22:54:15.240Z,37.309,37.125,5.3,4.3,mb,39,100.7,,,us,usp000k0ex,2014-11-07T01:50:38.854Z,"central Turkey",earthquake
2013-04-20T23:23:09.300Z,37.315,37.149,3.4,3.4,ml,7,148,,,us,us2013pfca,2014-11-07T01:50:36.923Z,"23km SW of Pazarcik, Turkey",earthquake
2013-04-07T15:58:01.600Z,27.831,33.953,10,4.4,mb,58,93.6,,0.93,us,us2013nscw,2014-11-07T01:50:31.662Z,"36km W of Sharm ash Shaykh, Egypt",earthquake
2013-03-03T11:22:24.000Z,35.992,34.583,17.5,4.1,mb,33,148.1,,,us,usc000ffft,2014-11-07T01:50:17.292Z,"47km NNE of Rizokarpaso, Cyprus",earthquake
2013-01-17T21:17:36.610Z,32.027,30.624,20,4.9,mb,190,35.9,,0.86,us,usb000eqks,2015-01-30T00:10:37.811Z,"66km NNE of Rosetta, Egypt",earthquake
2012-12-30T09:11:15.000Z,37.508,35.715,6.6,4.2,mb,26,87.5,,,us,usp000jxm2,2014-11-07T01:49:41.018Z,"central Turkey",earthquake
2012-12-12T01:18:13.670Z,37.301,36.273,11.2,4.2,mb,67,74.7,,,us,usp000jwv8,2014-11-07T01:49:35.600Z,"central Turkey",earthquake
2012-11-14T00:01:59.400Z,37.31,37.12,12,4.3,mb,57,66.3,,,us,usp000jvjh,2014-11-07T01:49:22.531Z,"central Turkey",earthquake
2012-11-13T23:55:48.900Z,37.27,37.11,13,4.5,mb,102,35.4,,,us,usp000jvjf,2014-11-07T01:49:22.506Z,"central Turkey",earthquake
2012-10-26T09:40:34.110Z,36.586,31.345,30,4.1,ml,47,87.7,,,us,usp000jufc,2014-11-07T01:49:08.872Z,"western Turkey",earthquake
2012-10-19T03:35:11.550Z,32.552,30.978,13.4,5.1,mb,174,44.2,,0.96,us,usp000ju5b,2014-11-07T01:49:06.885Z,"eastern Mediterranean Sea",earthquake
2012-10-16T10:25:04.700Z,37.297,37.135,14,4.6,mb,67,39.9,,,us,usp000ju1s,2014-11-07T01:49:06.045Z,"central Turkey",earthquake
2012-10-16T01:16:02.730Z,37.002,37.108,9.2,4.5,mb,91,61.1,,,us,usp000ju1f,2014-11-07T01:49:05.969Z,"central Turkey",earthquake
2012-09-26T01:28:32.790Z,34.773,29.97,36.2,4.6,mb,108,56.2,,0.91,us,usp000jsza,2014-11-07T01:48:55.076Z,"eastern Mediterranean Sea",earthquake
2012-09-19T23:15:06.860Z,37.313,37.136,8.6,4.1,ml,33,70.9,,,us,usp000jskj,2014-11-07T01:48:52.923Z,"central Turkey",earthquake
2012-09-19T09:17:46.820Z,37.309,37.097,7,4.9,mb,175,35.1,,,us,usp000jsk2,2014-11-07T01:48:52.863Z,"central Turkey",earthquake
2012-09-16T07:54:15.000Z,37.438,35.768,18.5,4.4,mb,86,55.3,,,us,usp000jsdg,2014-11-07T01:48:52.020Z,"central Turkey",earthquake
2012-09-08T10:01:06.570Z,37.329,37.085,3.5,4.1,mb,58,43.8,,,us,usp000jrzr,2014-11-07T01:48:48.990Z,"central Turkey",earthquake
2012-07-28T23:29:49.940Z,34.817,34.27,46.6,4.5,mb,137,42.2,,1.35,us,usp000jpjw,2014-11-07T01:48:24.822Z,"Cyprus region",earthquake
2012-07-22T09:26:02.990Z,37.546,36.384,7.6,5,mb,226,54.4,,,us,usp000jpab,2014-11-07T01:48:22.707Z,"central Turkey",earthquake
2012-06-26T14:34:23.040Z,35.232,31.402,47.4,4,mb,53,115.5,,0.87,us,usp000jn8s,2014-11-07T01:48:09.394Z,"Cyprus region",earthquake
2012-06-26T14:11:24.940Z,35.01,31.315,58.7,4.1,mb,49,155.1,,1.15,us,usp000jn8p,2014-11-07T01:48:09.278Z,"Cyprus region",earthquake
2012-06-23T18:47:17.210Z,35.804,31.02,55.5,4.4,mb,142,89.9,,1.09,us,usp000jn53,2014-11-07T01:48:08.282Z,"Cyprus region",earthquake
2012-05-24T14:09:07.800Z,35.898,29.95,5,4.2,ml,21,91,,,us,usp000jkvq,2014-11-07T01:47:52.379Z,"eastern Mediterranean Sea",earthquake
2012-05-11T18:48:29.580Z,34.304,34.142,16.6,5.4,mb,351,40.6,,0.91,us,usp000jkam,2014-11-07T01:47:46.769Z,"Cyprus region",earthquake
2012-05-09T10:48:12.160Z,34.699,32.926,20,4.3,mb,77,79.9,,,us,usp000jk79,2014-11-07T01:47:46.160Z,"Cyprus region",earthquake
2012-05-03T06:24:25.580Z,36.041,33.731,5,4,ml,14,167.7,,,us,usp000jjy8,2014-11-07T01:47:43.721Z,"central Turkey",earthquake
