Cat,Year,Mo.,Da.,Hr.,Min.,Sec.,Latitude,Longitude,depth,mag_magtype,provider,mag_magtype,provider,Mw_source
ANK,1763,9,3,,,,41.04,28.98,,5.80UK,ANK,,,6.50ANK
ANK,1766,,,,,,39.98,41.7,,5.80UK,ANK,,,6.50ANK
ANK,1766,4,23,,,,40.8,28.2,,5.80UK,ANK,,,6.50ANK
ANK,1767,,,,,,38.53,30.55,,5.80UK,ANK,,,6.50ANK
ANK,1784,7,19,,,,39.74,39.5,,6.40UK,ANK,,,6.70ANK
ANK,1789,,,,,,38.7,39.9,,5.80UK,ANK,,,6.50ANK
ANK,1795,,,,,,38.76,30.5,,6.40UK,ANK,,,6.70ANK
ANK,1826,,,,,,40.7,36.6,,5.80UK,ANK,,,6.50ANK
ANK,1828,6,15,,,,38.41,27.2,,5.80UK,ANK,,,6.50ANK
ANK,1835,8,,,,,38.72,35.5,,5.80UK,ANK,,,6.50ANK
ANK,1840,,,,,,40.1,43.4,,5.80UK,ANK,,,6.50ANK
ANK,1844,,,,,,40.98,34.8,,5.80UK,ANK,,,6.50ANK
ANK,1850,,,,,,38.42,27.45,,6.40UK,ANK,,,6.70ANK
ANK,1851,,,,,,40.03,28.4,,5.80UK,ANK,,,6.50ANK
ANK,1852,10,19,,,,36.4,28.6,,5.80UK,ANK,,,6.50ANK
ANK,1859,1,21,,,,39.98,41.7,,6.40UK,ANK,,,6.70ANK
ANK,1859,6,2,,,,39.92,41.3,,6.40UK,ANK,,,6.70ANK
ANK,1860,8,22,,,,40.41,26.65,,6.40UK,ANK,,,6.70ANK
ANK,1866,7,22,,,,38.4,39.4,,6.40UK,ANK,,,6.70ANK
ANK,1868,2,,,,,40.2,42.1,,5.80UK,ANK,,,6.50ANK
ANK,1868,3,,,,,40.2,42.1,,5.80UK,ANK,,,6.50ANK
ANK,1868,4,,,,,40.2,42.1,,5.80UK,ANK,,,6.50ANK
ANK,1869,5,31,,,,40.6,28,,5.80UK,ANK,,,6.50ANK
ANK,1871,3,25,,,,38.47,43.35,,5.80UK,ANK,,,6.50ANK
ANK,1871,6,7,,,,36.85,28.3,,5.80UK,ANK,,,6.50ANK
ANK,1871,10,8,,,,38.4,26.1,,5.80UK,ANK,,,6.50ANK
ANK,1872,4,3,,,,36.2,36.2,,7.50UK,ANK,,,7.50ANK
ANK,1873,,,,,,40.47,37.8,,5.80UK,ANK,,,6.50ANK
ANK,1874,6,28,,,,37.8,26.8,,5.80UK,ANK,,,6.50ANK
ANK,1875,3,,,,,40.15,26.4,,5.80UK,ANK,,,6.50ANK
ANK,1875,5,3,,,,38.1,30.2,,7.00UK,ANK,,,7.00ANK
ANK,1877,10,13,,,,40.6,27.4,,6.40UK,ANK,,,6.70ANK
ANK,1880,,,,,,38.08,27.75,,5.80UK,ANK,,,6.50ANK
ANK,1880,3,,,,,38.4,26.1,,7.00UK,ANK,,,7.00ANK
ANK,1881,6,7,,,,38.47,43.3,,5.80UK,ANK,,,6.50ANK
ANK,1881,9,28,,,,40.6,33.6,,5.80UK,ANK,,,6.50ANK
ANK,1886,10,6,,,,39.55,28.95,,5.80UK,ANK,,,6.50ANK
ANK,1886,11,,,,,38.3,29.3,,5.80UK,ANK,,,6.50ANK
ANK,1887,8,,,,,38.1,28.2,,5.80UK,ANK,,,6.50ANK
ANK,1888,5,,,,,38.4,26.1,,6.40UK,ANK,,,6.70ANK
ANK,1888,10,,,,,38.22,28,,5.80UK,ANK,,,6.50ANK
ANK,1893,3,31,,,,38.4,38.7,,7.00UK,ANK,,,7.00ANK
ANK,1893,7,24,,,,41.67,26.55,,5.80UK,ANK,,,6.50ANK
ANK,1894,7,10,,,,40.6,28.7,,7.00UK,ANK,,,7.00ANK
ANK,1895,,,,,,38.6,27.1,,7.00UK,ANK,,,7.00ANK
ANK,1895,8,19,,,,37.84,27.8,,6.40UK,ANK,,,6.70ANK
ANK,1896,4,16,,,,39.34,29.2,,5.80UK,ANK,,,6.50ANK
ANK,1896,6,26,,,,36.9,28.1,,5.80UK,ANK,,,6.50ANK
ANK,1897,5,,,,,36.7,28.6,,5.80UK,ANK,,,6.50ANK
ANK,1897,12,,,,,40.1,28,,6.40UK,ANK,,,6.70ANK
ANK,1901,,,,,,39.92,41.3,,5.80UK,ANK,,,6.50ANK
ANK,1903,5,28,,,,41.12,42.7,,5.80UK,ANK,,,6.50ANK
ANK,1905,4,15,,,,40.2,29,,6.00UK,ANK,,,6.60ANK
ANK,1905,10,4,12,20,,39,39,33,5.60UK,ANK,,,6.40ANK
ANK,1905,10,21,11,2,,42,39.5,33,6.20UK,ANK,,,6.60ANK
ANK,1906,9,28,5,50,,40.5,42.7,,6.20UK,ANK,,,6.20ANK
ANK,1907,1,27,,,,39.1,42.5,,6.40UK,ANK,,,6.40ANK
ANK,1907,,12,,,,37.6,34.5,,6.20UK,ANK,,,6.20ANK
ANK,1909,4,11,4,2,,36,45,,5.60UK,ANK,,,5.60ANK
ANK,1910,6,25,19,26,,41,34,,6.20UK,ANK,,,6.20ANK
ANK,1913,4,20,3,13,47,41.91,44.32,10,6.10UK,ANK,,,6.10ANK
ANK,1917,8,20,23,2,9,40.3,25.43,40,6.00UK,ANK,,,6.00ANK
ANK,1918,1,16,7,13,28,38.34,29.48,10,5.70UK,ANK,,,5.70ANK
ANK,1918,8,9,0,39,10,40.89,33.41,10,5.80UK,ANK,,,5.80ANK
ANK,1918,11,13,10,13,27,37.5,27.5,,5.50UK,ANK,,,5.50ANK
ANK,1920,4,2,15,34,25,36.75,26.64,10,5.50UK,ANK,,,5.50ANK
ANK,1920,9,28,15,17,37,37.89,28.35,10,5.70UK,ANK,,,5.70ANK
ANK,1921,12,6,13,26,16,40,45.5,,5.50UK,ANK,,,5.50ANK
ANK,1922,8,13,0,9,54,35.51,27.98,10,6.90UK,ANK,,,6.90ANK
ANK,1925,1,9,17,38,34,41.33,43.41,60,6.00UK,ANK,,,6.00ANK
ANK,1925,8,7,6,46,53,37.91,29.33,80,5.90UK,ANK,,,5.90ANK
ANK,1926,3,18,14,6,14,35.84,29.5,10,7.00UK,ANK,,,7.00ANK
ANK,1926,12,16,17,54,5,40.13,30.72,10,5.70UK,ANK,,,5.70ANK
ANK,1928,3,31,0,29,48,38.18,27.8,10,7.00UK,ANK,,,7.00ANK
ANK,1928,5,2,21,54,32,39.64,29.14,10,6.50UK,ANK,,,6.50ANK
ANK,1928,7,15,9,33,32,38.05,27.32,10,5.80UK,ANK,,,5.80ANK
ANK,1928,10,4,11,14,7,40.22,33.67,10,5.70UK,ANK,,,5.70ANK
ANK,1930,5,6,22,34,31,37.98,44.48,70,7.60UK,ANK,,,7.60ANK
ANK,1932,6,29,18,33,43,35.68,26.67,140,5.60UK,ANK,,,5.60ANK
ANK,1933,4,23,5,57,37,36.77,27.29,30,6.70UK,ANK,,,6.70ANK
ANK,1934,2,22,8,7,24,38.22,45.03,100,5.70UK,ANK,,,5.70ANK
ANK,1935,1,4,14,41,30,40.4,27.49,30,6.70UK,ANK,,,6.70ANK
ANK,1937,5,23,10,57,30,38.69,27.78,10,5.60UK,ANK,,,5.60ANK
ANK,1939,1,2,4,36,17,39.74,27.86,100,5.70UK,ANK,,,5.70ANK
ANK,1939,9,22,0,36,36,39.07,29.94,10,7.10UK,ANK,,,7.10ANK
ANK,1939,12,27,2,48,34,39.99,38.14,50,5.50UK,ANK,,,5.50ANK
ANK,1941,1,9,18,13,34,38.03,27.4,70,5.60UK,ANK,,,5.60ANK
ANK,1941,4,27,13,1,32,39.68,35.31,60,5.70UK,ANK,,,5.70ANK
ANK,1941,5,23,19,51,58,37.07,28.21,40,6.20UK,ANK,,,6.20ANK
ANK,1941,7,13,15,39,36,37.66,26.09,60,6.20UK,ANK,,,6.20ANK
ANK,1941,11,12,10,4,59,39.74,39.43,70,5.90UK,ANK,,,5.90ANK
ANK,1942,6,16,5,42,34,40.8,27.8,20,6.00UK,ANK,,,6.00ANK
ANK,1942,9,1,9,42,15,35.48,26.94,10,6.00UK,ANK,,,6.00ANK
ANK,1942,11,21,14,1,53,40.82,34.44,80,5.50UK,ANK,,,5.50ANK
ANK,1942,12,11,2,39,17,40.76,34.83,40,6.10UK,ANK,,,6.10ANK
ANK,1943,6,20,15,32,54,40.85,30.51,10,6.60UK,ANK,,,6.60ANK
ANK,1943,11,15,11,43,8,36.58,29.07,140,5.50UK,ANK,,,5.50ANK
ANK,1944,1,5,7,44,12,36.42,27.67,70,5.60UK,ANK,,,5.60ANK
ANK,1944,6,25,4,16,25,38.79,27.31,40,6.20UK,ANK,,,6.20ANK
ANK,1944,7,17,10,53,59,35.91,42.55,80,6.10UK,ANK,,,6.10ANK
ANK,1944,9,30,4,13,19,41.11,34.87,10,5.50UK,ANK,,,5.50ANK
ANK,1944,10,6,2,34,48,39.48,26.56,40,7.00UK,ANK,,,7.00ANK
ANK,1945,3,2,10,39,43,41.2,33.4,10,5.60UK,ANK,,,5.60ANK
ANK,1945,3,20,7,58,56,37.11,35.7,60,6.00UK,ANK,,,6.00ANK
ANK,1945,10,26,13,56,50,41.54,33.29,50,6.00UK,ANK,,,6.00ANK
ANK,1945,11,20,6,27,57,38.63,43.33,10,5.50UK,ANK,,,5.50ANK
ANK,1948,2,9,12,58,18,35.41,27.2,30,7.20UK,ANK,,,7.20ANK
ANK,1948,11,13,4,44,50,40.23,29.02,60,5.60UK,ANK,,,5.60ANK
ANK,1949,7,23,15,3,33,38.57,26.29,10,7.00UK,ANK,,,7.00ANK
ANK,1949,8,17,18,44,19,39.57,40.62,40,7.00UK,ANK,,,7.00ANK
ANK,1951,4,8,21,38,13,36.58,35.85,50,5.80UK,ANK,,,5.80ANK
ANK,1951,8,13,18,33,33,40.88,32.87,10,6.90UK,ANK,,,6.90ANK
ANK,1951,9,15,22,52,12,40.15,28.02,40,5.60UK,ANK,,,5.60ANK
ANK,1952,10,22,17,0,48,37.25,35.65,70,5.60UK,ANK,,,5.60ANK
